mark1,mark2,mark3,attendance,fee_paid_flag,edu_loan_flag,yearly_income,yearly_fees,dropped_out
35,59,57,71,1,0,223453,49999,0
69,89,13,55,1,1,426430,116093,1
30,13,35,90,0,0,410874,59758,1
18,94,35,54,1,1,368442,114324,1
60,53,78,97,1,1,467725,117486,0
53,3,7,85,1,1,307510,89519,1
38,38,25,91,1,0,171035,23768,0
90,71,35,81,1,0,223167,21504,0
73,24,47,92,1,1,494740,141481,0
89,76,84,51,0,0,421969,87986,0
18,31,27,99,1,1,165637,96772,0
38,58,67,40,1,1,311046,136721,0
66,62,61,92,1,0,384762,28002,0
44,37,79,56,1,1,75532,95427,0
12,91,85,80,1,1,158197,58787,0
91,52,75,94,1,0,180860,33898,0
57,93,79,90,1,1,110285,30472,0
19,66,50,96,1,1,331010,100800,0
91,27,41,89,1,1,188665,103227,0
71,2,100,67,1,1,321639,129023,0
60,97,28,46,1,0,296130,52632,1
38,79,81,48,1,1,319981,146718,0
0,21,9,61,1,0,257780,53743,1
2,95,38,65,1,1,461896,128552,1
76,37,81,92,1,0,498692,98538,0
91,71,0,51,1,1,308750,132517,1
61,71,38,46,1,0,342490,63386,0
62,61,20,85,1,1,158621,113786,0
24,56,64,86,1,0,335556,63388,0
55,5,14,54,1,0,168833,41323,1
32,77,3,77,0,0,474020,89269,1
37,31,59,60,1,1,115206,61319,0
5,98,60,53,1,1,60934,87759,0
57,9,19,41,1,0,342867,36868,1
43,2,9,47,1,1,440112,119732,1
44,58,86,84,0,0,463621,22080,0
31,75,33,94,1,0,199820,33776,1
44,48,47,45,1,1,251838,86231,0
60,58,32,76,1,1,227485,75452,0
46,30,97,76,1,0,465570,73812,0
20,92,60,96,1,0,434132,83271,0
79,68,9,72,1,1,291630,118505,0
84,61,53,80,1,0,460604,97585,0
74,51,83,45,1,1,86523,78542,1
100,88,64,91,1,1,413294,144147,0
35,40,76,65,0,0,433094,35628,1
98,30,0,78,1,1,216804,145850,0
18,84,4,80,1,1,91646,148445,1
19,83,79,76,1,0,202093,28265,0
56,21,14,53,0,0,274310,44671,1
17,3,27,76,1,1,292024,148872,0
46,12,94,47,1,0,307476,32460,0
48,44,22,78,1,1,364920,148898,0
13,41,16,52,1,0,331260,23477,1
14,48,97,52,1,0,162858,22202,1
30,19,12,79,1,1,269343,133846,0
0,76,13,82,1,1,126620,109410,1
53,80,10,67,1,1,487987,132928,0
2,53,27,97,1,1,471972,126753,0
15,35,41,57,1,0,132604,31850,1
86,96,95,96,1,1,144452,124621,0
56,0,98,58,1,0,446135,40809,0
74,14,60,77,1,1,335694,90886,0
11,76,63,71,1,0,217596,22806,0
73,16,30,61,0,0,497822,27163,1
95,23,80,41,1,1,249891,114368,1
15,57,72,99,1,0,120227,20185,0
71,71,9,52,1,1,335356,126374,1
75,90,7,62,1,0,352262,44718,0
23,22,20,64,1,1,340746,97081,1
27,45,76,67,1,1,67540,76202,0
7,71,58,97,1,0,216901,45215,0
91,7,49,50,1,0,237381,48325,0
35,58,68,72,0,0,246475,38458,0
89,89,69,63,1,1,383599,142342,0
7,58,29,41,1,1,72277,36006,1
57,12,94,69,1,1,169133,114080,0
59,38,16,56,1,0,302196,52969,1
49,100,74,79,1,0,460892,96820,0
27,27,19,73,1,1,486060,124014,0
91,88,47,77,1,1,321896,149693,0
100,60,72,61,1,1,262620,137853,0
40,15,1,44,0,0,483886,47655,1
99,1,36,87,1,1,248675,114679,0
63,81,0,79,1,1,212550,101234,0
26,16,3,90,1,1,469655,149282,0
62,29,99,55,1,1,477963,120406,0
16,12,53,52,0,0,297496,29102,1
72,95,24,65,0,0,437476,87107,1
32,92,2,70,1,1,473026,123429,0
83,93,8,91,1,1,330446,146328,0
76,81,85,78,1,1,378380,125001,0
91,12,86,87,1,1,114467,41553,0
28,42,75,62,1,1,414494,104079,0
12,84,73,87,1,1,478057,149169,0
45,93,33,100,1,0,487929,114437,0
34,20,42,51,0,0,492762,99570,1
5,54,73,53,1,1,305908,112656,0
81,80,93,95,1,1,315192,86865,1
68,39,21,57,1,1,299212,138301,0
46,82,69,66,1,0,476506,61420,1
24,14,1,67,1,1,108906,45382,1
65,72,93,57,1,0,388781,89235,0
9,51,65,55,1,0,341922,58795,0
55,73,31,91,1,1,208497,71425,0
29,94,15,55,1,1,288117,77402,0
4,52,75,52,1,1,264460,82539,1
32,86,0,97,1,1,170918,96203,0
64,51,71,68,1,1,402180,123127,0
17,29,47,48,1,1,455890,127651,1
95,32,49,65,1,0,270979,43459,0
48,56,12,67,0,0,476269,69649,1
10,51,14,80,1,1,298505,92495,0
84,8,52,52,1,1,61957,115117,0
25,53,43,100,1,0,384788,66384,0
62,0,7,75,1,0,496832,91746,0
88,43,73,48,1,0,425438,98053,1
85,98,45,86,1,1,67829,76278,1
58,74,68,53,1,1,317981,98156,1
26,97,18,90,1,1,196104,56744,0
48,79,37,51,1,1,149770,108340,0
76,8,10,92,1,1,76352,50568,0
32,31,42,97,1,1,80215,37991,1
97,14,19,96,1,0,499535,28912,1
98,11,19,71,1,0,255714,52527,0
0,96,20,77,1,1,353391,116399,0
20,77,81,42,1,1,179692,70426,1
54,56,56,97,1,1,224120,130363,0
5,7,49,96,1,1,300186,118994,0
91,71,73,93,0,0,256604,40407,1
80,26,97,91,1,1,116714,141935,0
68,61,25,55,1,0,347463,32344,1
94,11,29,59,1,1,169058,121741,0
4,64,72,71,0,0,328169,22355,0
2,41,30,95,1,1,59780,116429,0
52,61,41,62,1,0,334850,74733,0
22,10,67,56,1,1,223988,86285,1
100,42,60,55,1,1,125503,104971,0
52,94,60,77,1,1,211928,65733,0
36,16,69,47,1,0,415310,76915,1
73,96,77,58,1,1,59179,72716,0
73,31,67,69,1,1,219695,131151,0
82,92,89,96,1,1,198659,58526,0
16,84,16,97,1,0,204805,38088,0
84,84,18,73,1,1,307282,85377,0
77,39,50,53,1,1,149423,64405,0
72,22,69,61,1,1,173076,58842,0
0,55,62,83,1,1,185047,81788,1
50,5,92,56,1,1,304477,131682,0
44,85,74,99,1,1,259527,71529,0
76,49,79,98,1,1,387282,109939,0
3,36,29,54,1,1,226535,132833,1
61,63,24,89,1,1,223226,123578,0
64,53,74,87,1,1,256748,72383,1
31,71,70,71,1,1,136706,132311,0
33,48,25,52,1,1,166905,59177,1
91,98,55,60,1,1,78830,136903,1
94,10,21,88,1,0,422220,59056,0
71,87,88,79,1,0,489961,108249,0
38,48,18,72,1,1,342753,86421,0
25,20,30,100,1,1,67401,53632,1
33,65,25,96,1,0,470945,59685,0
53,62,41,97,0,0,415624,97222,0
2,82,40,66,1,1,168278,88590,0
49,27,99,74,1,0,226239,28977,0
11,16,22,55,1,1,275253,110568,1
64,5,46,67,1,0,369535,68967,1
53,18,12,73,1,1,176543,94072,0
4,55,88,86,1,0,441030,35070,1
93,27,65,40,1,1,144583,102473,1
93,65,65,80,1,0,239243,41500,0
56,37,15,87,1,1,187719,125987,0
16,36,72,70,1,1,464322,135475,0
46,67,27,75,1,0,318159,30011,0
22,85,76,83,1,0,333650,68039,0
78,89,34,72,1,0,295221,28896,0
100,48,40,72,1,1,74067,115335,0
84,42,76,78,0,0,442963,100118,0
13,35,30,57,1,1,52056,139595,1
65,57,84,62,0,0,304770,59958,1
74,12,31,99,1,1,79328,61912,0
50,51,53,62,1,0,389856,20814,0
37,57,97,54,1,1,102832,95276,1
63,31,71,65,1,1,92771,44719,0
97,80,58,69,1,1,147421,121081,0
37,99,40,64,1,0,227587,40150,0
49,59,65,84,1,1,114538,90494,0
97,82,95,55,1,0,352295,23825,0
81,57,53,78,1,1,182701,70368,0
29,98,39,87,1,0,395607,34800,0
78,55,27,84,1,1,146853,95535,0
90,27,36,53,1,1,139432,106390,1
50,0,64,56,1,1,340299,131268,1
62,41,73,51,1,1,301529,112851,0
97,81,54,68,1,1,199360,125076,1
51,47,3,71,1,1,362732,95017,1
37,39,98,95,1,1,268023,68505,0
96,96,9,63,1,1,217157,142405,0
87,62,46,91,1,1,61251,77899,0
78,75,74,52,1,1,152420,102782,0
29,71,13,95,0,0,206646,42601,1
50,87,37,59,1,0,321767,30677,0
80,79,11,54,0,0,267544,49552,1
4,3,44,95,1,1,366859,149249,0
28,37,16,92,1,1,318267,107858,0
3,26,79,43,1,1,315205,87891,1
9,8,34,93,1,1,156393,94693,0
55,15,65,73,1,1,304216,120699,0
16,55,74,67,1,1,414179,143355,0
73,75,40,89,1,1,351239,111450,0
16,30,66,41,0,0,240690,53292,1
83,87,28,96,1,1,471667,148424,0
87,13,17,86,1,1,394041,145451,0
68,24,19,69,1,1,131443,86097,1
33,33,13,65,1,0,430149,93703,1
5,66,33,90,0,0,346958,36184,0
52,23,48,86,1,1,135141,110033,0
65,72,53,65,1,1,257940,109336,0
76,25,30,59,1,1,218904,81046,1
42,19,57,81,1,1,190517,122968,1
74,63,41,67,1,1,214562,86741,1
22,9,57,95,1,1,79767,81377,0
54,82,81,59,1,1,96057,32039,0
79,66,29,50,1,0,261818,65161,1
94,23,24,97,0,0,270767,55006,0
74,4,62,49,1,0,222115,37544,0
15,66,18,100,1,0,398899,32987,1
7,57,71,62,1,0,340090,25239,1
3,26,91,76,1,1,217659,64785,0
3,79,7,80,0,0,315508,43358,0
55,14,94,91,1,1,237160,134759,0
24,34,2,58,1,1,127015,102674,1
66,75,66,84,1,1,188470,76450,0
95,52,85,57,1,0,445668,108520,0
66,43,80,88,1,0,399352,48428,0
26,25,99,66,0,0,435352,29096,0
92,46,16,45,1,0,476409,67582,1
31,33,13,49,1,1,75345,44536,1
49,86,8,41,1,0,398039,77395,1
60,94,61,63,1,1,255407,131595,0
50,49,93,77,1,1,204125,88157,0
18,83,20,67,1,1,306624,121494,0
20,11,75,67,1,1,179022,89484,1
4,86,36,92,1,0,448231,21287,0
81,3,95,84,1,1,278273,74510,0
91,86,10,89,0,0,451873,43902,1
41,47,19,78,1,0,363260,76188,0
60,54,34,41,1,1,203023,132894,0
21,0,52,100,0,0,409743,41164,0
20,88,46,85,1,1,279351,101204,0
69,65,74,44,1,0,338665,21772,0
0,29,51,89,1,0,366575,73054,0
4,2,7,50,1,0,322875,74878,1
11,20,3,49,1,1,199816,146800,1
89,88,26,82,0,0,375238,52238,0
45,83,43,98,1,1,330567,124504,0
33,48,39,41,0,0,426756,78293,0
48,85,46,54,1,0,460784,101298,0
77,84,93,78,1,0,490627,121442,0
89,61,43,80,1,1,53934,27213,0
44,96,47,76,1,1,126945,34941,0
26,37,90,46,1,1,301554,115881,1
72,14,84,59,1,1,442587,120720,0
25,51,51,73,1,0,146946,35964,0
46,78,83,74,1,1,146344,46855,0
85,45,67,73,1,1,189244,78769,0
55,24,10,92,1,1,77358,141739,0
93,20,76,61,1,1,247385,103504,0
62,87,72,70,0,0,179774,21046,1
47,4,3,62,1,0,331907,34909,1
60,69,75,58,0,0,491889,99114,0
80,46,72,43,1,1,135997,43368,0
25,86,76,63,1,1,291830,136853,0
35,67,47,59,1,1,380119,114135,0
0,90,25,78,1,1,188876,91255,1
7,17,76,67,1,0,490810,101496,1
98,20,38,93,1,1,259820,109142,1
51,91,91,78,1,1,137189,135864,0
78,98,57,56,1,1,137507,133902,0
46,85,18,58,1,0,379669,35624,1
55,22,87,93,1,1,149248,124715,0
85,63,82,87,1,1,74604,126378,0
13,66,76,74,1,0,428729,30352,1
89,39,76,71,1,1,465351,116421,0
27,9,57,86,1,1,218990,100539,0
86,88,27,85,1,0,179716,29223,0
77,51,65,86,1,1,231921,116969,1
87,71,9,85,1,1,211919,137976,0
1,74,85,78,1,0,486990,98254,0
25,60,76,96,1,1,60680,86851,1
13,63,57,74,1,1,163508,70044,1
58,4,72,69,1,1,145619,107089,1
55,52,96,56,1,1,105037,110218,0
6,54,13,81,1,1,149969,105000,1
2,36,83,86,1,1,161115,127240,0
22,55,14,68,1,1,108914,51419,1
17,58,95,45,1,0,207381,33767,0
37,92,32,99,1,1,157255,92002,0
98,68,16,56,1,1,60349,51028,1
14,72,23,56,1,1,256068,67953,1
63,58,29,53,1,0,477769,77965,1
88,1,61,63,1,1,78525,123394,1
100,64,12,96,1,1,318092,89776,0
27,59,61,89,1,1,64498,51459,0
73,50,46,96,1,0,462207,110932,0
38,29,15,76,1,1,271582,102331,1
56,10,65,100,1,1,109790,44689,0
16,91,80,79,1,0,450876,100446,0
85,75,95,78,1,1,76245,87982,0
89,38,42,94,0,0,181310,23346,1
43,89,7,71,0,0,463136,65179,0
24,76,2,75,1,1,96659,134773,0
16,71,11,89,1,0,438127,60517,1
12,62,83,76,1,1,124874,89678,0
83,63,15,87,1,1,354661,101606,0
24,60,77,53,1,1,176618,132491,0
67,53,79,66,1,1,125885,92623,1
9,91,58,98,1,1,96350,109288,0
66,93,48,58,1,1,389323,101171,1
17,72,62,70,1,1,304251,78916,0
99,94,61,85,1,0,471490,107754,1
85,57,48,48,1,1,357157,117409,0
33,84,50,77,1,0,287275,68575,0
7,55,32,56,1,1,89913,128501,1
39,33,29,58,1,0,285237,65039,1
82,30,58,83,1,0,357963,69955,0
41,51,75,43,1,1,132168,100260,0
40,88,14,87,1,0,404824,75871,0
100,75,81,96,1,0,406936,80678,0
5,0,91,50,1,1,245982,140773,1
51,54,22,61,1,1,204557,51351,1
25,21,77,43,1,0,446076,80693,0
63,39,93,56,1,1,99875,51433,0
97,100,96,47,1,1,195991,94797,1
58,0,44,85,1,1,386091,99015,1
55,64,61,98,1,1,59586,35804,0
58,62,78,73,1,1,101986,112781,1
69,53,70,50,1,0,401992,65101,1
100,41,14,70,1,0,335199,80115,0
32,20,45,50,1,0,478106,98363,1
52,78,63,95,1,1,78807,138870,0
21,80,45,93,1,1,266992,149826,0
20,21,55,95,1,1,359321,127904,1
69,37,43,77,1,1,118625,64700,0
69,98,74,92,1,1,457458,134952,0
3,79,28,60,1,1,368461,97576,1
93,7,94,85,0,0,483194,39477,0
74,61,61,69,1,0,328577,36127,1
61,46,88,49,1,1,83282,106718,1
61,16,51,65,1,1,126519,46049,0
93,16,53,66,1,1,290346,110063,0
94,89,87,47,1,1,355722,149255,0
23,12,56,78,0,0,180843,32473,1
54,16,82,47,1,1,158333,102245,1
8,37,65,99,1,1,205205,119510,0
2,80,21,47,1,1,100317,81836,1
30,77,19,94,1,1,177878,62464,0
39,44,32,73,0,0,158745,33714,0
100,5,71,98,1,0,441374,80878,0
35,34,24,55,1,1,115950,54208,1
23,13,45,80,1,1,109612,117481,0
94,71,72,52,1,1,114873,107104,0
5,60,97,62,1,1,294469,94683,0
65,14,56,51,1,1,165792,101803,0
83,53,86,66,1,0,267850,61514,0
91,26,4,61,1,1,243074,116988,1
74,12,54,71,1,0,495724,25136,0
3,30,60,96,1,1,219451,118115,0
78,34,88,100,1,0,436958,51516,0
5,59,7,88,1,1,65231,96982,0
93,5,15,66,1,0,399529,83878,1
50,68,47,41,1,1,91163,65099,1
61,85,60,84,1,1,434024,110060,0
56,57,14,72,0,0,474892,33188,0
65,48,64,65,1,1,399736,124123,0
78,22,21,67,1,1,418708,126373,0
74,88,2,58,1,1,304467,131073,0
7,33,53,82,1,1,105535,71188,0
25,25,13,44,1,1,423096,144166,1
50,46,35,72,1,1,227182,144077,0
44,4,81,59,1,0,228050,25560,1
43,89,81,69,1,1,271890,131157,0
4,19,66,84,1,1,253441,128763,0
69,5,9,47,1,0,447968,56397,1
25,69,48,77,1,1,74507,97193,1
67,58,64,100,1,1,174225,143651,0
18,63,90,56,1,0,304295,58082,1
83,17,56,83,1,1,160282,104376,1
96,3,26,40,0,0,484711,61430,0
19,16,74,42,1,1,271538,70522,1
11,13,4,85,0,0,241958,60397,0
46,77,70,65,1,1,382703,96860,0
0,12,82,70,1,1,50982,149189,1
89,6,56,47,1,0,260913,45247,0
13,43,92,82,1,1,179128,103094,0
63,14,14,98,1,1,459362,134798,1
37,18,98,85,1,0,297105,39943,0
36,62,100,47,1,1,235915,59460,1
10,34,75,100,1,0,301762,61986,1
99,80,29,74,1,1,126737,64514,1
76,34,19,78,1,1,132446,100908,0
2,18,36,67,1,1,138567,72385,1
32,19,2,90,0,0,335780,32631,1
5,99,72,43,1,0,394994,87008,1
49,34,40,96,1,0,470548,46955,0
9,31,38,55,1,1,232506,67367,1
4,47,25,52,1,1,133866,50802,1
22,43,1,59,1,1,242343,90408,1
9,23,22,90,1,1,112726,113083,0
43,60,22,44,1,0,393045,63341,0
1,16,84,94,1,0,191180,33691,0
12,70,15,76,1,1,118896,129786,0
39,49,8,59,1,0,223625,24753,1
1,64,12,63,1,0,90880,21833,1
83,98,27,75,1,1,295392,124232,0
64,31,26,73,1,0,364221,28645,1
62,35,50,97,1,1,53625,125120,0
100,12,63,84,1,1,88237,135428,0
72,69,51,87,1,1,51223,115977,0
16,57,80,93,0,0,240375,60024,0
8,13,37,73,1,1,115197,137068,0
74,36,99,58,1,1,286486,128853,0
14,78,64,56,1,1,386837,100598,1
23,67,17,44,0,0,161555,29635,1
37,39,62,64,0,0,349904,40064,1
34,58,50,57,1,0,422318,29940,1
93,79,8,99,1,0,439336,55169,0
94,91,12,94,1,1,341168,98647,0
48,15,39,92,1,1,335346,129667,0
68,61,54,89,1,0,431558,65200,0
61,3,78,47,1,1,101524,76329,1
59,44,42,66,1,1,224980,71158,1
49,89,43,54,1,0,479283,49739,0
77,27,67,84,1,1,452576,128282,1
74,95,32,52,0,0,410372,37793,1
8,65,23,55,1,1,154755,103682,1
33,30,35,61,1,1,194013,53677,1
75,2,9,59,1,1,328137,86296,1
98,7,99,52,1,1,64620,43022,0
34,23,19,59,1,0,435415,91148,1
0,14,74,41,1,1,70193,121544,1
39,42,11,74,1,0,363703,47265,0
63,30,61,86,1,0,333392,20530,1
21,72,17,94,0,0,489068,29551,1
59,44,93,58,1,0,448243,48394,0
63,65,100,84,1,0,375554,62987,0
92,7,62,76,1,0,316404,68984,0
71,70,83,97,1,1,349740,88096,0
10,56,24,93,1,1,288148,104097,0
100,79,11,45,1,1,59012,90639,0
13,98,20,53,1,1,75823,44090,0
59,29,24,43,1,1,385995,103457,1
29,73,10,61,1,1,97027,127769,1
34,17,63,90,0,0,259239,22781,1
84,68,72,94,1,0,395938,37330,1
36,92,49,78,1,0,337243,25257,0
4,38,61,75,1,0,413571,78642,1
82,59,88,73,0,0,349136,74249,0
77,97,98,66,1,0,432086,71663,0
25,42,95,46,0,0,430030,54956,1
61,44,48,42,1,1,192049,124367,0
3,22,13,86,1,0,499450,35615,0
88,68,0,72,1,0,273302,20881,0
41,93,80,41,1,0,228448,21847,0
88,5,24,81,1,1,477194,124903,0
17,55,58,55,1,1,59218,71127,1
39,3,71,64,1,1,333932,141265,1
71,92,68,99,1,1,70501,107646,0
38,22,4,54,1,1,259061,147148,1
13,5,98,63,1,1,153733,57336,1
31,31,18,54,1,1,327354,101850,1
50,17,22,70,1,1,178476,115654,1
37,14,8,53,0,0,386369,59931,1
96,39,93,93,1,1,226561,63924,0
22,95,49,53,1,0,273989,42966,1
62,72,15,45,1,0,375865,64023,0
14,100,32,53,0,0,485869,31320,0
96,73,1,56,1,1,222022,77841,0
24,83,13,57,1,1,189988,85125,0
16,5,0,59,1,1,246983,87752,1
96,62,89,90,1,1,81449,111100,0
65,66,57,56,1,1,401477,124005,0
77,10,88,55,1,1,332926,109937,0
52,42,15,79,1,1,332387,137296,0
50,16,78,78,1,1,79379,145355,1
38,95,89,91,1,1,87780,81858,0
50,3,46,71,0,0,473956,78714,0
69,62,43,99,0,0,164944,31780,0
5,67,79,83,1,1,308446,96230,0
66,80,13,48,1,1,332128,90345,0
6,40,92,66,1,1,50050,141033,0
50,82,23,85,1,0,449806,102098,0
71,4,54,91,1,1,90205,132696,0
41,31,14,72,1,1,327306,117977,0
63,85,82,49,1,1,361890,126075,0
14,69,71,56,1,1,194177,142659,1
28,34,33,88,1,0,480715,21929,1
32,21,1,88,0,0,479857,115153,1
93,64,26,75,1,1,61628,132610,0
26,83,73,56,1,1,223104,137236,0
35,21,98,57,1,1,350660,139522,0
28,10,86,91,1,0,399301,34244,0
37,76,71,62,1,1,444692,118415,0
56,2,91,73,1,1,169558,129715,1
96,8,22,47,1,1,352944,142636,0
100,59,67,52,1,1,85788,135402,0
26,75,13,62,1,1,170754,144281,1
54,86,62,96,1,0,338384,31116,0
32,13,92,93,1,0,454138,107954,0
67,96,64,59,1,1,376342,101243,0
85,17,67,61,1,1,370883,103301,0
65,72,62,86,0,0,254674,55895,0
9,22,95,91,1,1,324233,98636,0
4,73,96,62,1,1,82600,43867,0
73,82,89,80,1,1,227248,129507,0
96,46,80,74,1,0,320311,21208,1
37,68,86,42,1,0,390496,64085,0
12,46,63,73,1,0,464380,85572,0
30,86,31,72,0,0,398109,85234,0
46,29,78,85,1,0,437684,103748,0
99,24,12,56,1,0,281609,31252,0
87,27,65,84,1,1,343559,105261,1
51,97,18,58,0,0,121895,27006,0
55,24,23,69,1,1,392044,133371,1
14,73,87,62,1,1,283573,109595,0
28,77,10,54,1,1,144330,90883,1
7,57,58,98,1,1,108650,52171,0
4,93,85,96,1,1,50615,48517,0
28,40,14,53,0,0,226684,44274,1
46,24,9,41,0,0,390081,53577,1
67,77,40,78,1,0,297326,47648,0
75,98,26,88,1,1,354080,89654,0
44,47,59,57,1,0,210444,37910,1
1,97,72,45,1,1,419956,146399,0
26,9,51,98,1,1,380019,98619,0
94,98,27,71,1,1,131782,69647,0
35,74,64,60,1,1,111700,98723,0
35,10,16,79,1,1,58109,20424,0
25,84,94,67,1,1,73758,71899,1
42,20,43,66,0,0,269699,46641,1
26,85,9,41,1,0,420736,54750,1
68,44,62,72,1,1,63317,136156,0
19,6,100,55,1,1,250073,142416,1
10,80,92,78,0,0,494639,101454,0
73,63,81,61,1,1,75622,43154,0
37,63,46,95,1,1,56800,68166,0
5,1,37,82,1,0,295869,31992,0
71,75,69,86,1,1,85539,54001,0
22,41,75,52,1,1,283259,128293,0
46,81,52,95,0,0,183672,34546,0
89,53,77,41,1,1,135163,61524,0
45,74,43,53,1,1,296765,88555,0
11,15,73,95,0,0,210441,21304,0
89,17,53,77,1,1,278053,142722,0
12,98,19,80,1,1,328833,132448,0
61,58,78,67,1,0,393603,69284,0
81,89,30,46,1,1,88469,102368,0
88,15,6,57,1,1,182030,108327,1
96,5,57,95,0,0,304905,30022,0
59,56,9,80,1,1,301030,95886,0
42,46,9,94,1,1,372156,97354,1
75,47,38,75,1,0,250146,53617,0
99,41,27,80,1,1,110021,140045,1
67,75,29,75,1,1,231854,89498,0
4,59,36,83,1,1,281979,78824,0
36,76,66,43,1,1,74642,143780,0
71,3,42,96,1,0,391147,90390,0
91,1,78,69,1,1,173714,54307,0
30,89,84,63,1,1,50205,136587,0
8,58,51,59,1,1,405089,149884,1
50,26,100,85,1,1,62442,88480,0
28,26,55,95,1,1,403970,139645,0
77,78,75,70,1,0,272716,42327,1
39,71,67,63,1,0,448907,23244,1
40,6,8,46,1,1,88909,42720,1
85,62,91,65,1,0,331648,45090,0
10,45,22,52,1,1,145698,84277,1
22,62,62,93,1,1,286104,131559,0
0,11,60,47,0,0,482014,119895,1
45,12,39,94,1,1,230402,142641,0
100,42,43,44,1,1,137087,68536,1
20,16,85,83,1,0,259991,27855,0
89,62,23,52,1,1,263104,142483,1
35,80,50,68,1,1,91716,142963,0
53,35,57,59,1,1,255696,138430,1
86,84,89,53,1,1,228054,147773,1
56,7,93,71,1,1,208516,136815,0
0,68,32,99,1,0,467950,21601,1
62,89,15,89,0,0,222817,51952,0
53,79,21,66,1,1,84571,131113,0
54,35,56,95,1,1,273023,70374,1
39,27,61,64,1,0,458605,25690,0
14,92,81,91,1,0,405424,32521,0
20,46,70,43,1,1,265290,120146,0
46,75,89,60,1,1,95038,96019,1
72,100,71,57,1,0,122795,28058,0
52,29,69,78,0,0,357312,33704,1
8,22,29,54,1,1,259154,78933,1
73,15,22,92,1,1,117690,91101,1
51,13,31,77,0,0,426197,63856,0
56,73,85,87,1,1,61230,57256,0
25,70,56,91,1,0,395445,77352,0
40,51,8,63,1,1,186974,147588,1
34,36,30,47,0,0,378902,50615,1
62,28,70,67,1,1,77050,141638,0
24,66,8,60,1,1,411949,127210,1
89,14,12,55,1,0,255658,21927,1
74,99,57,99,1,0,381254,35512,0
37,46,2,93,1,0,414177,28301,0
1,45,34,55,1,1,126693,106849,1
6,51,96,74,0,0,434572,93993,0
81,18,20,56,1,1,69575,91028,1
90,76,63,48,1,1,240012,88759,0
33,20,94,96,1,1,352388,108047,1
90,63,51,74,1,1,327106,106991,0
16,36,33,91,1,1,281898,83058,0
42,26,95,68,1,1,306551,119258,0
58,54,34,78,1,0,412839,84926,1
50,28,14,57,0,0,298435,43434,1
53,19,95,51,1,0,297943,50341,1
23,24,5,58,1,1,140388,127845,1
24,69,84,87,0,0,277292,35007,0
70,62,96,61,1,1,127332,119878,1
51,35,31,98,1,0,467666,46799,0
69,1,51,95,1,1,234566,75820,0
87,21,82,88,1,0,439530,35674,0
32,95,96,91,1,0,357181,35426,0
48,15,27,54,1,1,162666,92631,1
28,17,94,40,1,1,177048,64791,0
62,68,84,41,1,1,312072,109640,1
21,53,97,47,1,0,395184,23255,0
25,99,63,61,1,1,161264,53826,0
27,29,78,64,1,1,211113,120261,0
84,44,77,41,1,1,322859,108568,0
48,18,18,90,1,0,465019,24944,0
70,86,14,48,1,0,373870,57826,1
80,33,5,48,0,0,445124,50497,1
83,12,72,52,1,0,430352,47723,0
48,42,100,45,1,1,218147,55287,1
19,61,83,69,1,0,245659,31845,1
85,92,97,54,1,1,365792,109833,1
91,99,37,90,1,1,71134,88106,0
62,21,25,92,1,1,296257,113039,0
60,51,81,54,1,1,368287,92986,0
48,51,91,89,1,1,119123,105807,0
70,35,50,46,1,1,226225,126007,0
0,72,72,97,1,1,183485,75569,0
95,18,95,50,1,1,271646,101434,0
12,37,52,79,1,1,203627,99925,1
93,69,55,77,1,1,454168,133718,0
86,78,58,79,1,0,250065,45463,1
50,56,69,41,0,0,433801,20744,0
55,19,77,90,1,1,116686,108340,0
82,8,91,87,1,0,424985,56282,0
61,31,57,78,1,1,82264,72082,0
31,3,87,49,1,1,286830,74689,1
29,49,12,83,1,0,490769,96407,0
28,81,42,56,1,1,235431,99072,0
48,4,75,46,1,1,422029,108633,1
44,19,50,93,1,1,279394,84766,0
92,86,18,79,1,1,190880,85711,1
29,74,20,78,1,1,102330,135253,0
15,36,90,43,1,0,164672,23217,0
39,21,82,74,1,1,350489,100642,0
18,57,23,90,1,1,89222,50359,1
17,67,25,86,1,1,107755,132000,0
0,92,44,75,1,0,321077,73509,1
77,43,27,70,0,0,380351,81970,1
46,33,81,64,1,0,224811,42357,1
65,76,99,80,1,1,228810,62354,1
91,41,28,52,1,0,416835,58570,0
93,8,16,57,1,0,155137,27034,1
37,94,67,60,0,0,265616,36263,0
50,6,43,87,1,0,465099,62180,0
62,67,60,40,1,0,410962,70099,0
3,18,92,75,1,0,410654,94312,0
0,93,67,89,1,1,149251,129358,0
7,30,73,47,0,0,486617,95348,1
28,34,24,91,1,1,196452,105275,0
54,56,94,87,0,0,330356,46925,0
2,84,66,60,1,1,340318,139939,0
31,60,1,82,1,0,450077,39575,0
9,30,88,91,1,0,187166,42231,0
73,82,48,92,1,1,154649,96935,0
82,94,69,92,1,1,101319,67731,0
33,52,25,60,0,0,227800,43100,1
96,31,71,66,1,0,467579,30768,1
86,65,98,58,1,1,137846,149057,0
54,58,26,62,1,1,220372,118835,1
91,9,88,90,1,1,104808,135919,0
31,1,17,89,1,0,449159,79337,0
49,65,53,90,1,1,261177,136385,0
6,59,0,82,1,1,92616,138058,0
92,87,60,74,1,0,386473,70697,0
7,16,2,79,0,0,284815,31357,1
64,95,67,91,1,1,206359,86973,1
56,15,40,90,1,0,440101,44946,1
